Atom,A,B,Value,Uncertainty,Method,Year,Citation,Notes
Cs,6p+,7s,6.495,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,6p+,5d-,3.16,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,6p+,5d+,9.59,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,6p+,6s,6.3919,,CCSD,2007,"R. Pal, M. S. Safronova, W. R. Johnson, A. Derevianko, and S. G. Porsev, Phys. Rev. A 75, 042515 (2007).",
Cs,6p+,6s,6.3818,0.0789,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,6p+,7s,6.4800,0.0200,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,6p+,5d-,3.1900,0.0700,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,6p+,5d+,9.7000,0.2000,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,6p+,5d-,3.288,0.033,CCSDpT,2016,"[1] B. K. Sahoo, Phys. Rev. A 93, 022503 (2016).",
Cs,6p+,5d+,9.961,0.111,CCSDpT,2016,"[1] B. K. Sahoo, Phys. Rev. A 93, 022503 (2016).",
Cs,6p+,5d-,3.1614,,CCSDpT,2004,"M. Safronova and C. Clark, Phys. Rev. A 69, 040501 (2004).",
Cs,6p+,5d+,9.5906,,CCSDpT,2004,"M. Safronova and C. Clark, Phys. Rev. A 69, 040501 (2004).",
Cs,6p+,6s,6.3349,0.0048,Expt.,2015,"B. M. Patterson, J. F. Sell, T. Ehrenreich, M. A. Gearba, G. M. Brooke, J. Scoville, and R. J. Knize, Phys. Rev. A 91, 012506 (2015)",
Cs,6p+,6s,6.3398,0.0022,Expt + Weighted Avg.,2019,"G. Toh, A. Damitz, C. E. Tanner, W. R. Johnson, and D. S. Elliott, Phys. Rev. Lett. 123, 073002 (2019)",
Cs,6p+,7s,6.489,0.005,Expt.,2019,"George Toh, Amy Damitz, Nathan Glotzbach, Jonah Quirk, I. C. Stevenson, J. Choi, M. S. Safronova, and D. S. Elliott. Phys. Rev. A 99, 032504 (2019)",
Cs,6p+,7s,6.479,0.031,Expt. + Th (??),,"M.-A. Bouchiat, J. Gue´na, and L. Pottier, J. Phys. (France) Lett. 45, L523 (1984); V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,6p+,5d+,9.650,0.018,Expt,2020,"S. Pucher, P. Schneeweiss, A. Rauschenbeutel, and A. Dareau, Phys. Rev. A 101, 042510 (2020); me",
Cs,6p+,5d-,3.286,0.030,Expt+Theory,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan,Phys. Rev. A 57, 4204 (1998); M. Safronova and C. Clark, Phys. Rev. A69, 040501 (2004)","Note: These measurements are in tension with polarisability measurements, and are likely wrong!"
Cs,6p+,5d+,9.916,0.035,Expt,1998,"D. DiBerardino, C. E. Tanner, and A. Sieradzan,Phys. Rev. A 57, 4204 (1998); M. Safronova and C. Clark, Phys. Rev. A69, 040501 (2004)","Note: These measurements are in tension with polarisability measurements, and are likely wrong!"
Cs,7p-,6s,0.275,,CPM,1989,"V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,7p-,7s,10.29,,CPM,1989,"V. A. Dzuba, V. V. Flambaum, A. Y. Kraftmakher, and O. P. Sushkov, Phys. Lett. A 142, 373 (1989).",
Cs,7p-,6s,0.279,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,7p-,7s,10.310,,CCSD+scale,1999,"M. S. Safronova, W. R. Johnson, and A. Derevianko, Phys. Rev. A 60, 4476 (1999).",
Cs,7p-,6s,0.2560,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,7p-,7s,10.292,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,7p-,5d-,2.061,,CPM,2001,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. A 63, 062101 (2001).",
Cs,7p-,7s,10.298,,PTSCI,2002,"V. A. Dzuba, V. V. Flambaum, and J. S. M. Ginges, Phys. Rev. D 66, 076013 (2002).",
Cs,7p-,6s,0.2769,,CCSDvT+QED+Breit,2010,"S. G. Porsev, K. Beloy, and A. Derevianko, Phys. Rev. D 82, 036008 (2010).",
Cs,7p-,7s,10.307,,CCSDvT+QED+Breit,2010,"S. G. Porsev, K. Beloy, and A. Derevianko, Phys. Rev. D 82, 036008 (2010).",
Cs,7p-,6s,0.2983,0.0193,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,7p-,7s,10.3100,0.0401,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
Cs,7p-,5d-,2.3000,0.4000,CCSDpT,2016,"M. S. Safronova, U. I. Safronova, and C. W. Clark, Phys. Rev. A 94, 012505 (2016).",
